pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Fixation.stopped,Line1.started,Line2.started,Line3.started,Line4.started,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,2,2,10,2,,,,,32.03505599999335,,32.01953520003008,32.03505599999335,33.017951200017706,33.017951200017706,33.017951200017706,33.017951200017706,33.03206420002971,34.03131619998021,34.03131619998021,34.24928180000279,c,1,0.21268090000376105,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,2,3,11,3,,,,,34.26687829999719,,34.25089189998107,34.26687829999719,35.26612169999862,35.26612169999862,35.26612169999862,35.26612169999862,35.280091600026935,36.262722600018606,36.262722600018606,36.530765200033784,x,0,0.262547199963592,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,3,0,12,0,,,,,36.5479900999926,,36.5324791999883,36.5479900999926,37.531510500004515,37.531510500004515,37.531510500004515,37.531510500004515,37.54476989997784,38.54397779999999,38.54397779999999,39.12875580001855,v,0,0.5721488000126556,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,3,1,13,1,,,,,39.14592460001586,,39.131111500028055,39.14592460001586,40.14260469999863,40.14260469999863,40.14260469999863,40.14260469999863,40.14260469999863,41.14179480000166,41.14179480000166,41.90957379998872,z,0,0.7509856999968179,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,3,2,14,2,,,,,41.926963999983855,,41.91149070003303,41.926963999983855,42.9238852999988,42.9238852999988,42.9238852999988,42.9238852999988,42.9238852999988,43.92316210002173,43.92316210002173,44.50747539999429,c,1,0.578539699956309,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,3,3,15,3,,,,,44.52444429998286,,44.50936919997912,44.52444429998286,45.521753899985924,45.521753899985924,45.521753899985924,45.521753899985924,45.521753899985924,46.52079219999723,46.52079219999723,46.888519699976314,x,0,0.3565433000330813,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,4,0,16,0,,,,,46.90654920000816,,46.890136800007895,46.90654920000816,47.888833899982274,47.888833899982274,47.888833899982274,47.888833899982274,47.91964759997791,48.902281299990136,48.902281299990136,49.82019380002748,v,0,0.9129116000258364,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,4,1,17,1,,,,,49.83708899997873,,49.82249970000703,49.83708899997873,50.83389629999874,50.83389629999874,50.83389629999874,50.83389629999874,50.83389629999874,51.83288800000446,51.83288800000446,53.03318089997629,z,0,1.1835647000116296,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,4,2,18,2,,,,,53.05123109999113,,53.03505280002719,53.05123109999113,54.033695099991746,54.033695099991746,54.033695099991746,54.033695099991746,54.04804179997882,55.0473481999943,55.0473481999943,56.11526900000172,c,1,1.0657688999781385,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,4,3,19,3,,,,,56.13197779998882,,56.11719850002555,56.13197779998882,57.128739700012375,57.128739700012375,57.128739700012375,57.128739700012375,57.128739700012375,58.12782639998477,58.12782639998477,58.39637450000737,x,0,0.258268199977465,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,5,0,20,0,,,,,58.41373670002213,,58.398297299980186,58.41373670002213,59.41039059998002,59.41039059998002,59.41039059998002,59.41039059998002,59.41039059998002,60.409514700004365,60.409514700004365,61.143841699988116,v,0,0.7270226000109687,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,5,1,21,1,,,,,61.16143520001788,,61.14568800001871,61.16143520001788,62.158055100007914,62.158055100007914,62.158055100007914,62.158055100007914,62.158055100007914,63.1571483000298,63.1571483000298,64.70746740000322,z,0,1.5444827000028454,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
