pos,corr_resp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,0,0,0,2,2,2,10,2,43.4596096999594,,43.44336179998936,43.4596096999594,44.44231349998154,44.44231349998154,44.44231349998154,44.44231349998154,44.45617499999935,45.455513099965174,45.455513099965174,46.78894140000921,c,1,1.3256784999975935,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,0,0,0,2,2,3,11,3,46.8066651999834,,46.79094539996004,46.8066651999834,47.789589099993464,47.789589099993464,47.789589099993464,47.789589099993464,47.803545199974906,48.80266929999925,48.80266929999925,49.98566279996885,x,0,1.1768734999932349,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,0,0,0,2,3,0,12,0,50.004238999972586,,49.98657529999036,50.004238999972586,50.98685609997483,50.98685609997483,50.98685609997483,50.98685609997483,51.001078700006474,51.99991040001623,51.99991040001623,53.41707349999342,v,0,1.4136574000003748,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,3,1,13,1,53.43476049997844,,53.419013599981554,53.43476049997844,54.417723999999,54.417723999999,54.417723999999,54.417723999999,54.431149999960326,55.430422800011,55.430422800011,56.680655999982264,z,0,1.2377434999798425,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,0,0,0,2,3,2,14,2,56.698923799965996,,56.68237200001022,56.698923799965996,57.681553400005214,57.681553400005214,57.681553400005214,57.681553400005214,57.69568629999412,58.694525600003544,58.694525600003544,59.79528439999558,c,1,1.0863881999976002,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,0,0,0,2,3,3,15,3,59.812829500006046,,59.79717390000587,59.812829500006046,60.79557710001245,60.79557710001245,60.79557710001245,60.79557710001245,60.809469099971466,61.80868029996054,61.80868029996054,62.77560519997496,x,0,0.9551800999906845,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,0,0,0,2,4,0,16,0,62.79389590001665,,62.77751609997358,62.79389590001665,63.77619169995887,63.77619169995887,63.77619169995887,63.77619169995887,63.80703349999385,64.78957610001089,64.78957610001089,65.60724350000964,v,0,0.801691300002858,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,4,1,17,1,65.62532539997483,,65.60888849996263,65.62532539997483,66.60755029995926,66.60755029995926,66.60755029995926,66.60755029995926,66.63821189996088,67.6204987000092,67.6204987000092,68.58811060001608,z,0,0.9616994999814779,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,0,0,0,2,4,2,18,2,68.60579200001666,,68.59003229998052,68.60579200001666,69.60245539998868,69.60245539998868,69.60245539998868,69.60245539998868,69.60245539998868,70.60158959997352,70.60158959997352,71.65238079999108,c,1,1.0375348000088707,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,0,0,0,2,4,3,19,3,71.6698871999979,,71.65428640000755,71.6698871999979,72.66632899997057,72.66632899997057,72.66632899997057,72.66632899997057,72.66632899997057,73.66535829997156,73.66535829997156,74.7163211000152,x,0,1.0413925999891944,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,0,0,0,2,5,0,20,0,74.7341956999735,,74.71814589999849,74.7341956999735,75.71647079999093,75.71647079999093,75.71647079999093,75.71647079999093,75.74716999998782,76.72993289999431,76.72993289999431,78.21299520001048,c,0,1.4736414999933913,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,5,1,21,1,78.23118369997246,,78.21464829996694,78.23118369997246,79.21359090000624,79.21359090000624,79.21359090000624,79.21359090000624,79.22774780000327,80.22697069996502,80.22697069996502,81.54426080000121,z,0,1.3083579000085592,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,0,0,0,2,5,2,22,2,81.56156409997493,,81.54624990001321,81.56156409997493,82.54479790001642,82.54479790001642,82.54479790001642,82.54479790001642,82.55840499995975,83.55736149998847,83.55736149998847,84.8913651999901,v,0,1.3247587999794632,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,0,0,0,2,5,3,23,3,84.90855779999401,,84.89321389998076,84.90855779999401,85.89166500000283,85.89166500000283,85.89166500000283,85.89166500000283,85.9054067999823,86.90461209998466,86.90461209998466,87.90479760000017,x,0,0.9946718999999575,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,0,0,0,2,6,0,24,0,87.9230910000042,,87.90616750001209,87.9230910000042,88.90589549997821,88.90589549997821,88.90589549997821,88.90589549997821,88.91973630001303,89.9188792000059,89.9188792000059,91.01970359997358,c,0,1.089940900041256,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,0,0,0,2,6,1,25,1,91.037481700012,,91.02164940000512,91.037481700012,92.01998440001626,92.01998440001626,92.01998440001626,92.01998440001626,92.0340114000137,93.03306190000148,93.03306190000148,94.2338657999644,z,0,1.1839736999827437,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,0,0,0,2,6,2,26,2,94.25133020000067,,94.23587309999857,94.25133020000067,95.24771779996809,95.24771779996809,95.24771779996809,95.24771779996809,95.24771779996809,96.24684889998753,96.24684889998753,96.94734770001378,c,1,0.6886403000098653,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
