pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,2,2,10,2,,,,,38.9014377000276,,38.88610859995242,38.9014377000276,39.8977498000022,39.8977498000022,39.8977498000022,39.8977498000022,39.8977498000022,40.8970021000132,40.8970021000132,43.313461799989454,x,0,2.4067152000498027,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,2,3,11,3,,,,,43.33124809991568,,43.31539210001938,43.33124809991568,44.31394239992369,44.31394239992369,44.31394239992369,44.31394239992369,44.3277029999299,45.32701739994809,45.32701739994809,46.64378469996154,z,1,1.311154699884355,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,3,0,12,0,,,,,46.66202849999536,,46.645684299990535,46.66202849999536,47.64451949996874,47.64451949996874,47.64451949996874,47.64451949996874,47.658357099979185,48.65760339994449,48.65760339994449,51.32350870000664,c,0,2.649005699902773,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,3,1,13,1,,,,,51.341420299955644,,51.325499999918975,51.341420299955644,52.324038499966264,52.324038499966264,52.324038499966264,52.324038499966264,52.33764009992592,53.336802699952386,53.336802699952386,55.60338749992661,v,1,2.2573535999981686,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,3,2,14,2,,,,,55.62123429996427,,55.60522279993165,55.62123429996427,56.60397759999614,56.60397759999614,56.60397759999614,56.60397759999614,56.617701199953444,57.61669890000485,57.61669890000485,61.29829519998748,x,0,3.6653732999693602,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,3,3,15,3,,,,,61.31655340001453,,61.30011930002365,61.31655340001453,62.29929879994597,62.29929879994597,62.29929879994597,62.29929879994597,62.313054199912585,63.312287500011735,63.312287500011735,65.87750279996544,z,1,2.558416199986823,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,4,0,16,0,,,,,65.8962100999197,,65.87914859992452,65.8962100999197,66.87827129999641,66.87827129999641,66.87827129999641,66.87827129999641,66.90907910000533,67.89169519999996,67.89169519999996,69.40833559993189,c,0,1.5083327000029385,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,4,1,17,1,,,,,69.42613979999442,,69.41004200000316,69.42613979999442,70.40887869999278,70.40887869999278,70.40887869999278,70.40887869999278,70.42264060000889,71.42180299991742,71.42180299991742,73.13824979995843,v,1,1.7091661000158638,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,4,2,18,2,,,,,73.1566377999261,,73.13980160001665,73.1566377999261,74.13915279996581,74.13915279996581,74.13915279996581,74.13915279996581,74.15298539993819,75.15233559999615,75.15233559999615,77.71810920001008,x,0,2.563568599987775,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,4,3,19,3,,,,,77.73669849999715,,77.71998159994837,77.73669849999715,78.71863779996056,78.71863779996056,78.71863779996056,78.71863779996056,78.74943790002726,79.73166990000755,79.73166990000755,81.43184480001219,z,1,1.6915040001040325,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,5,0,20,0,,,,,81.44999029999599,,81.43438450002577,81.44999029999599,82.43271969992202,82.43271969992202,82.43271969992202,82.43271969992202,82.4460923000006,83.4454838000238,83.4454838000238,84.8957628000062,c,0,1.4465730000520125,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,5,1,21,1,,,,,84.91367429995444,,84.89760819997173,84.91367429995444,85.89643790002447,85.89643790002447,85.89643790002447,85.89643790002447,85.90984129998833,86.9091083999956,86.9091083999956,88.5761253000237,v,1,1.657778299995698,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,5,2,22,2,,,,,88.5940544999903,,88.57781049993355,88.5940544999903,89.57666789996438,89.57666789996438,89.57666789996438,89.57666789996438,89.59023039997555,90.58951239997987,90.58951239997987,92.50600249995477,x,0,1.9141011000610888,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
