pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.01602810004260391,,0.009313200018368661,0.01602810004260391,1.0123279000399634,1.0123279000399634,1.0123279000399634,1.0123279000399634,1.0123279000399634,2.0114775000838563,2.0114775000838563,3.3685774999903515,x,1,1.3396457000635564,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,0,1,1,1,,,,,3.3798316000029445,,3.3711639000102878,3.3798316000029445,4.376089500030503,4.376089500030503,4.376089500030503,4.376089500030503,4.376089500030503,5.375407100073062,5.375407100073062,6.459569500060752,v,1,1.0780974000226706,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,0,2,2,2,,,,,6.477351700072177,,6.461414400022477,6.477351700072177,7.473577100085095,7.459934100043029,7.459934100043029,7.459934100043029,7.459934100043029,8.472727100015618,8.472727100015618,9.857501600054093,c,1,1.3823889000341296,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,0,3,3,3,,,,,9.874654400045983,,9.859354000072926,9.874654400045983,10.870820900076069,10.870820900076069,10.870820900076069,10.870820900076069,10.870820900076069,11.869820700027049,11.869820700027049,12.688055600039661,z,1,0.8100983999902382,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,1,0,4,0,,,,,12.705919799976982,,12.689799100044183,12.705919799976982,13.718361500068568,13.70496090000961,13.70496090000961,13.70496090000961,13.70496090000961,14.701115300063975,14.701115300063975,15.16915329999756,x,1,0.4625089999753982,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,1,1,5,1,,,,,15.186855599982664,,15.17120410001371,15.186855599982664,16.18322770006489,16.169310300028883,16.169310300028883,16.169310300028883,16.169310300028883,17.18245930003468,17.18245930003468,17.816670599975623,v,1,0.6201672999886796,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,1,2,6,2,,,,,17.835068800020963,,17.81864269997459,17.835068800020963,18.84769090008922,18.817329599987715,18.817329599987715,18.817329599987715,18.817329599987715,19.83017089997884,19.83017089997884,20.964024999993853,c,1,1.1190056999912485,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,1,3,7,3,,,,,20.98205390002113,,20.965712000033818,20.98205390002113,21.978496400057338,21.964492100058123,21.964492100058123,21.964492100058123,21.964492100058123,22.977659900090657,22.977659900090657,23.911670500063337,z,1,0.918790900032036,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,2,0,8,0,,,,,23.92982329998631,,23.914269200060517,23.92982329998631,24.942764100036584,24.92891810007859,24.92891810007859,24.92891810007859,24.92891810007859,25.925343699986115,25.925343699986115,26.70879970001988,x,1,0.7769826001022011,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,2,1,9,1,,,,,26.727558200014755,,26.71047659998294,26.727558200014755,27.723712300066836,27.710169100086205,27.710169100086205,27.710169100086205,27.710169100086205,28.723041400080547,28.723041400080547,29.606779900030233,v,1,0.8745066999690607,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,2,2,10,2,,,,,29.625395599985495,,29.608840800006874,29.625395599985495,30.638025099993683,30.607435500016436,30.607435500016436,30.607435500016436,30.607435500016436,31.620561300078407,31.620561300078407,32.3216967000626,c,1,0.6879963999381289,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,2,3,11,3,,,,,32.33954710001126,,32.32346189999953,32.33954710001126,33.335814799997024,33.32208960002754,33.32208960002754,33.32208960002754,33.32208960002754,34.33496050001122,34.33496050001122,34.93635139998514,z,1,0.5942434999160469,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,3,0,12,0,,,,,34.95380020001903,,34.938084200024605,34.95380020001903,35.950067099998705,35.93666420003865,35.93666420003865,35.93666420003865,35.93666420003865,36.94935550005175,36.94935550005175,38.09953340003267,x,1,1.135246800025925,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,3,1,13,1,,,,,38.11780580005143,,38.10160180006642,38.11780580005143,39.114364900044166,39.10055360000115,39.10055360000115,39.10055360000115,39.10055360000115,40.11353239999153,40.11353239999153,41.01448780007195,v,1,0.8906738000223413,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,3,2,14,2,,,,,41.03244730003644,,41.01626499998383,41.03244730003644,42.02876090002246,42.01479839999229,42.01479839999229,42.01479839999229,42.01479839999229,43.027966500027105,43.027966500027105,43.79546220006887,c,1,0.7611483000218868,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,3,3,15,3,,,,,43.813618600019254,,43.79715710005257,43.813618600019254,44.82629800005816,44.79580790002365,44.79580790002365,44.79580790002365,44.79580790002365,45.80884110007901,45.80884110007901,46.543201800086536,z,1,0.7217876999638975,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,4,0,16,0,,,,,46.56120810005814,,46.544977899990045,46.56120810005814,47.57423770008609,47.54352160007693,47.54352160007693,47.54352160007693,47.54352160007693,48.556689999997616,48.556689999997616,49.357620700029656,x,1,0.7861498999409378,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
