image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,trial.stopped,response.keys,response.corr,response.rt,response.duration,thanks.started,thankyou.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.00199740007519722,0.007151699624955654,0.007151699624955654,5.499917999841273,space,5.478987799957395,None,,,,,,,,,,,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
twitch 2,120,right,0,0,0,13,5.52923379978165,,,,,,,,,5.5128520000725985,5.52923379978165,5.52923379978165,6.041169099975377,6.533463999629021,7.841259599663317,right,1,2.299339700024575,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
CN 2,100,right,0,1,1,12,7.8615508996881545,,,,,,,,,7.843553199898452,7.8615508996881545,7.8615508996881545,8.372348399832845,8.855679799802601,9.723217799793929,right,1,1.8561575002968311,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
adidas 2,0,right,0,2,2,7,9.749342399649322,,,,,,,,,9.724761199671775,9.749342399649322,9.749342399649322,10.254241900052875,10.737570500001311,11.621999899856746,left,0,1.8686096002347767,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
google 1,0,left,0,3,3,2,11.650555499829352,,,,,,,,,11.623121100012213,11.650555499829352,11.650555499829352,12.152778699994087,12.635880899615586,13.186926399823278,left,1,1.5215140003710985,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
twitter 2,60,right,0,4,4,10,13.21010909974575,,,,,,,,,13.187972999643534,13.21010909974575,13.21010909974575,13.718027599621564,14.20152199966833,14.885909900069237,right,1,1.6683001001365483,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 1,0,left,0,5,5,14,14.917943199630827,,,,,,,,,14.886979399714619,14.917943199630827,14.917943199630827,15.433328199665993,15.900054499972612,17.566908999811858,left,1,2.640483799856156,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
google 2,40,right,0,6,6,9,17.590820899698883,,,,,,,,,17.567986199632287,17.590820899698883,17.590820899698883,18.097867799922824,18.581052499823272,19.11662089964375,left,0,1.5237242998555303,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
twitter 1,0,left,0,7,7,3,19.14118309970945,,,,,,,,,19.117666999809444,19.14118309970945,19.14118309970945,19.64653049968183,20.129903899971396,20.580829799640924,left,1,1.4226460000500083,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
CN 1,0,left,0,8,8,5,20.603756399825215,,,,,,,,,20.5819219998084,20.603756399825215,20.603756399825215,21.11199719971046,21.59523839969188,22.51322969980538,left,1,1.9008349999785423,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
adidas 1,0,left,0,9,9,0,22.53458660002798,,,,,,,,,22.514331500045955,22.53458660002798,22.53458660002798,23.043759199790657,23.52709459979087,24.327202699612826,left,1,1.7867223997600377,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 3,90,right,0,10,10,16,24.353273099754006,,,,,,,,,24.327956900000572,24.353273099754006,24.353273099754006,24.85872929962352,25.34212789963931,26.275742799974978,right,1,1.920185700058937,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
fb 1,0,left,0,11,11,1,26.293134700041264,,,,,,,,,26.276438999921083,26.293134700041264,26.293134700041264,26.80714419996366,27.290475300047547,28.042001399677247,right,0,1.7387863001786172,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
fb 2,20,right,0,12,12,8,28.068098499905318,,,,,,,,,28.043752199970186,28.068098499905318,28.068098499905318,28.572600099723786,29.05588090000674,29.424987599719316,left,0,1.3544927998445928,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
twitch 1,0,left,0,13,13,6,29.45441469969228,,,,,,,,,29.426294199656695,29.45441469969228,29.45441469969228,29.954479499720037,30.438036900013685,30.806160199921578,right,0,1.3471249002031982,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
ig 2,80,right,0,14,14,11,30.826255099847913,,,,,,,,,30.807298799976707,30.826255099847913,30.826255099847913,31.336733100004494,31.82011909969151,32.255294600035995,left,0,1.418811499606818,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 2,140,right,0,15,15,15,32.28888739971444,,,,,,,,,32.25640770001337,32.28888739971444,32.28888739971444,32.80232700007036,33.26902309991419,33.603659899905324,right,1,1.3106755996122956,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 4,10,right,0,16,16,17,33.64334429986775,,,,,,,,,33.60498489998281,33.64334429986775,33.64334429986775,34.15118409972638,34.617905099876225,34.935923099983484,left,0,1.2764369999058545,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
ig 1,0,left,0,17,17,4,34.95980690000579,,,,,,,,,34.936960499733686,34.95980690000579,34.95980690000579,35.466957699973136,35.950033699627966,36.33532239962369,right,0,1.35853479988873,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
CN 1,0,left,1,0,18,5,36.356085599865764,,,,,,,,,36.33650229964405,36.356085599865764,36.356085599865764,36.865650499705225,37.34882179973647,37.78277449961752,right,0,1.4191530998796225,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 4,10,right,1,1,19,17,37.798708599992096,,,,,,,,,37.78345699980855,37.798708599992096,37.798708599992096,38.297540300060064,38.797736200038344,39.115498499944806,left,0,1.3133980999700725,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 1,0,left,1,2,20,14,39.1382397999987,,,,,,,,,39.116687200032175,39.1382397999987,39.1382397999987,39.646495499648154,40.12988290004432,40.76561030000448,right,0,1.6249736999161541,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
ig 1,0,left,1,3,21,4,40.78819159977138,,,,,,,,,40.76703719981015,40.78819159977138,40.78819159977138,41.29504449991509,41.77864639973268,42.230017699766904,left,1,1.435595199931413,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
twitch 1,0,left,1,4,22,6,42.250146899838,,,,,,,,,42.23083799984306,42.250146899838,42.250146899838,42.76101669995114,43.24382939981297,43.66235899971798,left,1,1.3963108998723328,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
UF 2,140,right,1,5,23,15,43.68780229985714,,,,,,,,,43.663766199722886,43.68780229985714,43.68780229985714,44.192827799823135,44.676123899873346,45.826850099954754,right,1,2.13399859983474,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
twitter 2,60,right,1,6,24,10,45.847018299624324,,,,,,,,,45.827815499622375,45.847018299624324,45.847018299624324,46.35793239995837,46.84103829972446,47.5424405997619,left,0,1.6801555999554694,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
ig 2,80,right,1,7,25,11,47.56336069991812,,,,,,,,,47.54379089968279,47.56336069991812,47.56336069991812,48.0729728997685,48.556579099968076,49.30801469972357,left,0,1.7273404002189636,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
adidas 1,0,left,1,8,26,0,49.32794059999287,,,,,,,,,49.30955450003967,49.32794059999287,49.32794059999287,49.83809279976413,50.321541300043464,51.07276259968057,left,1,1.741766699589789,None,,,,946728,001,2024-12-04_14h55.44.076,Mental Rotation,2024.1.5,None,2024-12-04 14h55.52.205586 +0530,
