image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,trial.stopped,response.keys,response.corr,response.rt,response.duration,thanks.started,thankyou.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002121299970895052,0.005389200057834387,0.005389200057834387,10.62469940027222,space,10.609383800067008,None,,,,,,,,,,,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
UF 2,140,right,0,0,0,15,10.664144600275904,,,,,,,,,10.641584900207818,10.664144600275904,10.664144600275904,11.164576699957252,11.648453800007701,12.898886499926448,right,1,2.232102899812162,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
CN 2,100,right,0,1,1,12,12.919980099890381,,,,,,,,,12.900469900108874,12.919980099890381,12.919980099890381,13.429283199831843,13.912466899957508,14.463833299931139,right,1,1.5354911000467837,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
ig 1,0,left,0,2,2,4,14.488645100034773,,,,,,,,,14.464887300040573,14.488645100034773,14.488645100034773,14.994813499972224,15.477916500065476,16.329415699932724,left,1,1.8265002998523414,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
twitch 1,0,left,0,3,3,6,16.35528380004689,,,,,,,,,16.3308890000917,16.35528380004689,16.35528380004689,16.85996469995007,17.343132900074124,17.944211800117046,left,1,1.5752845997922122,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
fb 1,0,left,0,4,4,1,17.97923699999228,,,,,,,,,17.945294099859893,17.97923699999228,17.97923699999228,18.491815899964422,18.958553500007838,19.609752499964088,left,1,1.6241334001533687,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
UF 4,10,right,0,5,5,17,19.63240240002051,,,,,,,,,19.611345100216568,19.63240240002051,19.63240240002051,20.1406605001539,20.6238819998689,21.191209299955517,right,1,1.5459246998652816,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
UF 1,0,left,0,6,6,14,21.21153279999271,,,,,,,,,21.19196020020172,21.21153279999271,21.21153279999271,21.72251099999994,22.205891400109977,22.823464900255203,left,1,1.6083713001571596,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
adidas 2,0,right,0,7,7,7,22.845680499915034,,,,,,,,,22.824504400137812,22.845680499915034,22.845680499915034,23.354616600088775,23.837831099983305,24.60546480026096,right,1,1.7478759000077844,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
CN 1,0,left,0,8,8,5,24.62735510012135,,,,,,,,,24.606522200163454,24.62735510012135,24.62735510012135,25.13654850004241,25.619589200243354,26.237792199943215,right,0,1.5952675002627075,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
twitch 2,120,right,0,9,9,13,26.260180599987507,,,,,,,,,26.23890719981864,26.260180599987507,26.260180599987507,26.7684165998362,27.25179330026731,28.053064200095832,left,0,1.7778674997389317,None,,,,4,001,2024-12-04_16h03.32.484,Mental Rotation,2024.1.5,None,2024-12-04 16h03.46.195335 +0530,
