image,orientation,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Greeting.started,greeting1.started,key_resp.started,Greeting.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,response.started,fixation.stopped,logos.started,trial.stopped,response.keys,response.corr,response.rt,response.duration,thanks.started,thankyou.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002307499758899212,0.006948200054466724,0.006948200054466724,11.060827399604023,space,11.040825299918652,None,,,,,,,,,,,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
UF 4,10,right,0,0,0,17,11.100205099675804,,,,,,,,,11.078035399783403,11.100205099675804,11.100205099675804,11.600801299791783,12.086121199652553,13.01890019979328,right,1,1.9031575000844896,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
google 1,0,left,0,1,1,2,13.048687299713492,,,,,,,,,13.020462699700147,13.048687299713492,13.048687299713492,13.549336399883032,14.032283199951053,14.85082839988172,left,1,1.799983600154519,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
twitch 1,0,left,0,2,2,6,14.875334799755365,,,,,,,,,14.852067299652845,14.875334799755365,14.875334799755365,15.380944199860096,15.864214999601245,16.9648205996491,left,1,2.0739773004315794,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
fb 2,20,right,0,3,3,8,16.999817399773747,,,,,,,,,16.965818400029093,16.999817399773747,16.999817399773747,17.51249249977991,17.979076500050724,18.46325789997354,right,1,1.4464953998103738,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
ig 2,80,right,0,4,4,11,18.483185600023717,,,,,,,,,18.46426189970225,18.483185600023717,18.483185600023717,18.994666299782693,19.477896799799055,20.56185479974374,right,1,2.0698064998723567,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
CN 1,0,left,0,5,5,5,20.584942599758506,,,,,,,,,20.562902899924666,20.584942599758506,20.584942599758506,21.09309129975736,21.576187499798834,22.644912499934435,left,1,2.057531700003892,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
google 2,40,right,0,6,6,9,22.667835699860007,,,,,,,,,22.646272900048643,22.667835699860007,22.667835699860007,23.174371699802577,23.657804399728775,24.52563689975068,right,1,1.851494699716568,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
adidas 2,0,right,0,7,7,7,24.54605680005625,,,,,,,,,24.52685320004821,24.54605680005625,24.54605680005625,25.05629780003801,25.53964630002156,26.27510799979791,left,0,1.7262518000788987,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
CN 2,100,right,0,8,8,12,26.294613999780267,,,,,,,,,26.276595699600875,26.294613999780267,26.294613999780267,26.804944599978626,27.288348000030965,28.022845400031656,right,1,1.7264085002243519,None,,,,5,001,2024-12-04_16h08.37.063,Mental Rotation,2024.1.5,None,2024-12-04 16h08.51.755148 +0530,
