reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,1,0.11176860006526113,,0.007520100101828575,0.11176860006526113,1.012751900125295,1.012751900125295,1.1128397998400033,5.210147900041193,t,4.184979500249028,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
67,75,119,0,1,1,5,5.225845200009644,,5.211328399833292,5.225845200009644,6.22518810024485,6.22518810024485,6.22518810024485,8.374104400165379,l,2.1378501001745462,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
49,60,89,0,2,2,4,8.390025599859655,,8.374492300208658,8.390025599859655,9.389237199909985,9.389237199909985,9.389237199909985,10.955296900123358,l,1.5528376000002027,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
11,30,7,0,3,3,0,10.971126100048423,,10.955681700259447,10.971126100048423,11.97050500009209,11.97050500009209,11.97050500009209,13.453477300237864,t,1.4708170997910202,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
27,50,21,0,4,4,2,13.469096099957824,,13.453866800293326,13.469096099957824,14.468420899938792,14.468420899938792,14.468420899938792,16.267983499914408,t,1.7956258999183774,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
40,55,62,0,5,5,3,16.283626700285822,,16.268563699908555,16.283626700285822,17.28286819998175,17.28286819998175,17.28286819998175,18.333268800284714,l,1.0430633001960814,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
78,80,162,0,6,6,6,18.348694399930537,,18.33387240022421,18.348694399930537,19.347863200120628,19.347863200120628,19.347863200120628,20.464895999990404,l,1.100060900207609,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
49,60,89,1,0,7,4,20.480222700163722,,20.46560400025919,20.480222700163722,21.479579099919647,21.479579099919647,21.479579099919647,23.12967050028965,t,1.648341199848801,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
27,50,21,1,1,8,2,23.144839399959892,,23.130346700083464,23.144839399959892,24.143882300239056,24.143882300239056,24.160257200244814,28.841131600085646,t,4.6850398001261055,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
67,75,119,1,2,9,5,28.856591599993408,,28.84181550005451,28.856591599993408,29.85564580000937,29.85564580000937,29.85564580000937,30.889663599897176,l,1.0251533999107778,None,612854,001,2024-11-15_20h16.24.605,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h16.31.372613 +0530,
