reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.17340070009231567,,0.013288300018757582,0.17340070009231567,1.0067842002026737,1.0067842002026737,1.1733607999049127,4.772018200252205,l,3.7497295001521707,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
15,35,13,0,1,1,1,4.806039500050247,,4.7902514999732375,4.806039500050247,5.802725099958479,5.802725099958479,5.819422200322151,7.187922799959779,t,1.3736956999637187,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
78,80,162,0,2,2,6,7.205573600251228,,7.189067100174725,7.205573600251228,8.200835300143808,8.200835300143808,8.21829630015418,8.718566399998963,t,0.5084415003657341,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
11,30,7,0,3,3,0,8.733714200090617,,8.71963889990002,8.733714200090617,9.732955100014806,9.732955100014806,9.732955100014806,10.084039200097322,l,0.33943079970777035,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
27,50,21,0,4,4,2,10.09955869987607,,10.08454619999975,10.09955869987607,11.09885450033471,11.09885450033471,11.09885450033471,11.566989799961448,t,0.45319300005212426,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
40,55,62,0,5,5,3,11.581822500098497,,11.568196299951524,11.581822500098497,12.581266900058836,12.581266900058836,12.597123000305146,13.066323400009423,t,0.4789732997305691,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
67,75,119,0,6,6,5,13.080559799913317,,13.067302400246263,13.080559799913317,14.079904300160706,14.079904300160706,14.079904300160706,14.7497737002559,l,0.6642081998288631,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
67,75,119,1,0,7,5,14.762688499875367,,14.751397000160068,14.762688499875367,15.761763900052756,15.761763900052756,15.761763900052756,16.729623599909246,l,0.9559861999005079,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
11,30,7,1,1,8,0,16.744279500097036,,16.7306989999488,16.744279500097036,17.743765899911523,17.743765899911523,17.759871399961412,18.344816599972546,t,0.5881762998178601,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
78,80,162,1,2,9,6,18.362632100004703,,18.34639560012147,18.362632100004703,19.358464600052685,19.358464600052685,19.375192699953914,19.97656759992242,l,0.606810700148344,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
15,35,13,1,3,10,1,19.99377730023116,,19.97946389997378,19.99377730023116,20.990127299912274,20.990127299912274,21.00681750010699,21.407442099880427,t,0.4036381999030709,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
49,60,89,1,4,11,4,21.422937199939042,,21.4082518001087,21.422937199939042,22.422580200247467,22.422580200247467,22.422580200247467,22.740329300053418,t,0.3109384998679161,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
40,55,62,1,5,12,3,22.755577499978244,,22.741388299968094,22.755577499978244,23.755053600296378,23.755053600296378,23.771100800018758,24.072741100098938,t,0.3053751001134515,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
27,50,21,1,6,13,2,24.087978899944574,,24.073899500072002,24.087978899944574,25.0868235998787,25.0868235998787,25.103727200068533,25.371989599894732,l,0.28085359977558255,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
40,55,62,2,0,14,3,25.387728500179946,,25.373562899883837,25.387728500179946,26.385663600172848,26.385663600172848,26.402367900125682,26.77041110023856,t,0.3830944998189807,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
15,35,13,2,1,15,1,26.785583700053394,,26.771307700313628,26.785583700053394,27.78463070001453,27.78463070001453,27.801283200271428,28.069391699973494,l,0.2833398999646306,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
27,50,21,2,2,16,2,28.084419600199908,,28.070129199884832,28.084419600199908,29.08339919988066,29.08339919988066,29.08339919988066,29.28462540032342,l,0.19899370009079576,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
11,30,7,2,3,17,0,29.300173500087112,,29.285627299919724,29.300173500087112,30.299183300230652,30.299183300230652,30.299183300230652,30.80149680003524,l,0.4980914001353085,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
67,75,119,2,4,18,5,30.81573159992695,,30.802357700187713,30.81573159992695,31.814401099923998,31.814401099923998,31.814401099923998,32.33297959994525,t,0.5062983999960124,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
49,60,89,2,5,19,4,32.34879870014265,,32.33431209996343,32.34879870014265,33.347140199970454,33.347140199970454,33.36329670017585,33.69890630012378,l,0.3464510999619961,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
78,80,162,2,6,20,6,33.71295420033857,,33.69988720025867,33.71295420033857,34.712125699967146,34.712125699967146,34.712125699967146,34.946988800074905,t,0.22621939983218908,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
11,30,7,3,0,21,0,34.961737600155175,,34.94831879995763,34.961737600155175,35.96125809988007,35.96125809988007,35.96125809988007,36.16216220008209,t,0.19593170005828142,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
67,75,119,3,1,22,5,36.177578300237656,,36.1628331001848,36.177578300237656,37.17749030003324,37.17749030003324,37.17749030003324,37.428532500285655,l,0.23820200003683567,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
49,60,89,3,2,23,4,37.44372519990429,,37.42986740032211,37.44372519990429,38.44286679988727,38.44286679988727,38.45904459990561,38.610356400255114,t,0.15632889978587627,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
15,35,13,3,3,24,1,38.62638289993629,,38.61142549989745,38.62638289993629,39.624832700006664,39.624832700006664,39.64167959988117,39.859797100070864,t,0.23099880013614893,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
40,55,62,3,4,25,3,39.874550899956375,,39.86113470001146,39.874550899956375,40.8738544001244,40.8738544001244,40.8738544001244,41.20839020004496,t,0.3250464997254312,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
78,80,162,3,5,26,6,41.22309640003368,,41.209505199920386,41.22309640003368,42.22248589992523,42.22248589992523,42.22248589992523,42.3739783000201,t,0.14653930021449924,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
27,50,21,3,6,27,2,42.38867350015789,,42.37463770015165,42.38867350015789,43.38898169994354,43.38898169994354,43.38898169994354,43.63996700011194,l,0.24356790026649833,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
40,55,62,4,0,28,3,43.655199400149286,,43.6413078000769,43.655199400149286,44.65392500022426,44.65392500022426,44.67045750003308,44.805307200178504,l,0.13606059970334172,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
78,80,162,4,1,29,6,44.8207706999965,,44.80631239991635,44.8207706999965,45.819821800105274,45.819821800105274,45.819821800105274,46.1373678999953,t,0.3059497997164726,None,463829,001,2024-11-21_12h07.38.923,7.0 Delay Discounting,2024.1.5,None,2024-11-21 12h07.49.717358 +0530,
