reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.048366899602115154,,0.006992199923843145,0.048366899602115154,0.9997981996275485,0.9997981996275485,1.0498911999166012,5.118628999684006,l,4.1110054003074765,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
67,75,119,0,1,1,5,5.129780999850482,,5.119543799664825,5.129780999850482,6.129048699978739,6.129048699978739,6.129048699978739,6.846281899604946,l,0.7092021000571549,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
49,60,89,0,2,2,4,6.861702699679881,,6.846951499581337,6.861702699679881,7.861055399756879,7.861055399756879,7.861055399756879,8.77820839965716,l,0.9083512001670897,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
15,35,13,0,3,3,1,8.793406799901277,,8.778892199974507,8.793406799901277,9.792561499867588,9.792561499867588,9.792561499867588,10.576459999661893,t,0.7787840003147721,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
78,80,162,0,4,4,6,10.592068600002676,,10.577131099998951,10.592068600002676,11.591319099999964,11.591319099999964,11.591319099999964,12.308470199815929,l,0.7011988996528089,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
27,50,21,0,5,5,2,12.323832899797708,,12.309139200020581,12.323832899797708,13.323120299726725,13.323120299726725,13.323120299726725,14.25709699979052,t,0.9185279002413154,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
11,30,7,0,6,6,0,14.272353299893439,,14.25782849965617,14.272353299893439,15.271083399653435,15.271083399653435,15.287747699767351,16.271855499595404,t,0.9959402997046709,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
40,55,62,1,0,7,3,16.287101799622178,,16.272485099732876,16.287101799622178,17.28627139981836,17.28627139981836,17.28627139981836,18.1705064997077,l,0.8791586998850107,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
15,35,13,1,1,8,1,18.18566529965028,,18.171283799689263,18.18566529965028,19.184975599870086,19.184975599870086,19.184975599870086,20.40185199957341,t,1.208216399885714,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
67,75,119,1,2,9,5,20.417029599659145,,20.40245659975335,20.417029599659145,21.416467999573797,21.416467999573797,21.416467999573797,22.133720399811864,l,0.715034699998796,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
27,50,21,1,3,10,2,22.149027599953115,,22.134388899896294,22.149027599953115,23.148370999842882,23.148370999842882,23.148370999842882,28.295072800014168,t,5.138223699759692,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
78,80,162,1,4,11,6,28.310634299647063,,28.2956539997831,28.310634299647063,29.310027099680156,29.310027099680156,29.310027099680156,29.96086120000109,l,0.6387809999287128,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
49,60,89,1,5,12,4,29.97580729983747,,29.961643199902028,29.97580729983747,30.974853300023824,30.974853300023824,30.974853300023824,31.85892099980265,t,0.8786447001621127,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
11,30,7,1,6,13,0,31.874509599991143,,31.859598399605602,31.874509599991143,32.873658400028944,32.873658400028944,32.873658400028944,33.54088669968769,t,0.6622325000353158,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
67,75,119,2,0,14,5,33.556420099921525,,33.54153969977051,33.556420099921525,34.55560499988496,34.55560499988496,34.55560499988496,35.5566982999444,l,0.9992456999607384,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
11,30,7,2,1,15,0,35.57130809966475,,35.557366899680346,35.57130809966475,36.570538899861276,36.570538899861276,36.570538899861276,37.420924299862236,t,0.8332991003990173,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
49,60,89,2,2,16,4,37.43642759975046,,37.4216474997811,37.43642759975046,38.43572680000216,38.43572680000216,38.43572680000216,39.768617999739945,l,1.3158380999229848,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
27,50,21,2,3,17,2,39.78448149980977,,39.76934739993885,39.78448149980977,40.78361469972879,40.78361469972879,40.78361469972879,42.79984789993614,t,2.009146499913186,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
78,80,162,2,4,18,6,42.815273199696094,,42.8005177997984,42.815273199696094,43.81454449985176,43.81454449985176,43.81454449985176,45.515344499610364,l,1.6988907000049949,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
15,35,13,2,5,19,1,45.52975899958983,,45.516104699578136,45.52975899958983,46.52900689980015,46.52900689980015,46.52900689980015,47.312308699823916,t,0.7663952000439167,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
40,55,62,2,6,20,3,47.327833799645305,,47.3131963997148,47.327833799645305,48.32748549990356,48.32748549990356,48.32748549990356,49.41096769971773,l,1.0693876002915204,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
67,75,119,3,0,21,5,49.42651809984818,,49.41161559987813,49.42651809984818,50.42571149999276,50.42571149999276,50.42571149999276,52.25973849976435,l,1.832111000083387,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
15,35,13,3,1,22,1,52.27424900000915,,52.260445300024,52.27424900000915,53.27337589999661,53.27337589999661,53.28996319975704,55.45608909986913,t,2.1730935997329652,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
11,30,7,3,2,23,0,55.47148339962587,,55.45664469990879,55.47148339962587,56.47075370000675,56.47075370000675,56.47075370000675,57.48777739983052,t,1.0100696999579668,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
49,60,89,3,3,24,4,57.50306629994884,,57.488434799946845,57.50306629994884,58.50239989999682,58.50239989999682,58.50239989999682,60.03584299981594,l,1.5277174999937415,None,461411,001,2024-11-15_20h33.21.096,7.0 Delay Discounting,2024.1.5,None,2024-11-15 20h33.29.111789 +0530,
